,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
54,54.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,89906.0,87964.0,1942.0,53.60161358138288,81.39145012573344,27.789836544350564,45.295571575695156,1942.0,76143.0,444.0,87964.0,0.46899869664190086,0.5310013033580991,0.5360161358138288,45.295571575695156,0.8139145012573344,0.4639838641861712,0.021600338130936755,0.04208382091622242
55,55.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,91571.0,89622.0,1949.0,54.611930021266616,81.6848281642917,27.072898143025085,45.98358132375577,1949.0,74485.0,437.0,89622.0,0.4590823638231037,0.5409176361768964,0.5461193002126661,45.98358132375577,0.816848281642917,0.45388069978733386,0.021284030970503763,0.04148706323105251
56,56.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,93236.0,91282.0,1954.0,55.6234651782069,81.89438390611903,26.270918727912132,46.715455475946776,1954.0,72825.0,432.0,91282.0,0.44914200597022097,0.550857994029779,0.556234651782069,46.715455475946776,0.8189438390611903,0.443765348217931,0.020957570037324638,0.04086925602894731
57,57.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,94901.0,92936.0,1965.0,56.631344183977525,82.35540653813915,25.724062354161624,47.295674300254454,1965.0,71171.0,421.0,92936.0,0.4392737232195948,0.5607262767804052,0.5663134418397753,47.295674300254454,0.8235540653813914,0.4336865581602247,0.020705788137111304,0.04039594190385149
58,58.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,96566.0,94591.0,1975.0,57.63983254827643,82.7745180217938,25.134685473517365,47.89417721518987,1975.0,69516.0,411.0,94591.0,0.4293934279519259,0.5706065720480741,0.5763983254827643,47.89417721518987,0.827745180217938,0.4236016745172357,0.020452333119317358,0.039918344247716064
59,59.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,98231.0,96248.0,1983.0,58.64953962963189,83.10980720871751,24.460267579085624,48.53656076651538,1983.0,67859.0,403.0,96248.0,0.4194891076501715,0.5805108923498286,0.5864953962963189,48.53656076651538,0.8310980720871752,0.41350460370368114,0.020187109975465994,0.03941679835415487
60,60.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,99896.0,97904.0,1992.0,59.65863735245907,83.4870075440067,23.828370191547634,49.14859437751004,1992.0,66203.0,394.0,97904.0,0.4095967998654598,0.5904032001345402,0.5965863735245907,49.14859437751004,0.8348700754400671,0.40341362647540935,0.019940738367902618,0.038951135097084526
61,61.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,101561.0,99557.0,2004.0,60.66590699970141,83.98994132439229,23.324034324690878,49.67914171656687,2004.0,64550.0,382.0,99557.0,0.3997405296318764,0.6002594703681235,0.6066590699970141,49.67914171656687,0.8398994132439229,0.39334093000298587,0.01973198373391361,0.03855811134520477
62,62.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,103226.0,101211.0,2015.0,61.67378600547204,84.45096395641241,22.77717795094037,50.2287841191067,2015.0,62896.0,371.0,101211.0,0.3898722468812503,0.6101277531187498,0.6167378600547204,50.2287841191067,0.8445096395641241,0.3832621399452796,0.01952027589948269,0.038158542589857215
63,63.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,104891.0,102869.0,2022.0,62.68410244535578,84.74434199497067,22.06023954961489,50.874876360039565,2022.0,61238.0,364.0,102869.0,0.37995591406245305,0.6200440859375469,0.6268410244535577,50.874876360039565,0.8474434199497066,0.3731589755464423,0.019277154379308045,0.037696803601890434
64,64.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,106556.0,104521.0,2035.0,63.69076273406984,85.28918692372172,21.598424189651872,51.36167076167076,2035.0,59586.0,351.0,104521.0,0.3701116563459124,0.6298883436540875,0.6369076273406985,51.36167076167076,0.852891869237217,0.36309237265930155,0.019097939111828523,0.037359328817168774
65,65.0,1664.0,1648.0,16.0,99.03846153846153,0.961538461538467,108220.0,106169.0,2051.0,64.6949855886708,85.95976529756915,21.264779708898345,51.76450511945392,2051.0,57938.0,335.0,106169.0,0.36030944243902147,0.6396905575609786,0.6469498558867081,51.76450511945392,0.8595976529756916,0.35305014411329194,0.018952134540750322,0.037086595663888035
66,66.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,109885.0,107826.0,2059.0,65.70469267002626,86.29505448449288,20.59036181446662,52.368139873725106,2059.0,56281.0,327.0,107826.0,0.35040512213726704,0.649594877862733,0.6570469267002627,52.368139873725106,0.8629505448449287,0.34295307329973734,0.018737771306365746,0.03667910680407229
67,67.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,111550.0,109481.0,2069.0,66.71318103432516,86.71416596814753,20.000984933822366,52.91493475108748,2069.0,54626.0,317.0,109481.0,0.3405248268695981,0.6594751731304018,0.6671318103432516,52.91493475108748,0.8671416596814753,0.33286818965674836,0.01854773644105782,0.036318635023170905
68,68.0,1665.0,1644.0,21.0,98.73873873873873,1.261261261261268,113215.0,111125.0,2090.0,67.71496645481302,87.59430008382229,19.879333629009267,53.16985645933014,2090.0,52982.0,296.0,111125.0,0.3307766692893995,0.6692233307106005,0.6771496645481302,53.16985645933014,0.875943000838223,0.3228503354518698,0.01846045135361922,0.036158856757294494
69,69.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,114880.0,112782.0,2098.0,68.72467353616848,87.92958927074602,19.20491573457754,53.75691134413727,2098.0,51325.0,288.0,112782.0,0.3208723489876451,0.6791276510123548,0.6872467353616848,53.75691134413727,0.8792958927074602,0.31275326463831526,0.018262534818941505,0.035781897566216976
70,70.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,116545.0,114437.0,2108.0,69.73316190046738,88.34870075440067,18.615538853933288,54.28700189753321,2108.0,49670.0,278.0,114437.0,0.31099205371997624,0.6890079462800238,0.6973316190046738,54.28700189753321,0.8834870075440067,0.3026683809953262,0.018087434038354284,0.03544912596379413
71,71.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,118210.0,116092.0,2118.0,70.74165026476628,88.76781223805533,18.02616197328905,54.81208687440982,2118.0,48015.0,268.0,116092.0,0.3011117584523073,0.6988882415476927,0.7074165026476628,54.81208687440982,0.8876781223805532,0.2925834973523372,0.017917265882751037,0.035125543135759066
72,72.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,119875.0,117747.0,2128.0,71.75013862906518,89.18692372170997,17.436785092644797,55.33223684210526,2128.0,46360.0,258.0,117747.0,0.2912314631846384,0.7087685368153616,0.7175013862906519,55.33223684210526,0.8918692372170998,0.28249861370934815,0.017751824817518247,0.03481077367271656
73,73.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,121540.0,119407.0,2133.0,72.76167378600547,89.3964794635373,16.63480567753183,55.980778246601034,2133.0,44700.0,253.0,119407.0,0.28129110533175566,0.7187088946682443,0.7276167378600548,55.980778246601034,0.893964794635373,0.2723832621399453,0.01754977785091328,0.03442376902344948
74,74.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,123205.0,121061.0,2144.0,73.76955279177609,89.85750209555742,16.08794930378133,56.46501865671642,2144.0,43046.0,242.0,121061.0,0.27142282258112954,0.7285771774188705,0.7376955279177609,56.46501865671642,0.8985750209555742,0.262304472082239,0.01740189115701473,0.03414257391055091
75,75.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,124870.0,122715.0,2155.0,74.77743179754673,90.31852472757754,15.541092930030814,56.94431554524362,2155.0,41392.0,231.0,122715.0,0.26155453983050336,0.7384454601694966,0.7477743179754672,56.94431554524362,0.9031852472757753,0.25222568202453277,0.017257948266196844,0.03386873703401018
